"Facebook Social Network Database (n = 715 observations, m = 21 variables)"																					
Friend 	Age	Photos	# of Tags	Albums	Gender 	Emp	Profile	Cover	Orientation	Relationship	Posts	Replies	MidWest	Seast	West	Children	Likes	Edu	Events	USA	Friends
133	22	64	104	4	1	0	0	0	1	0	22	20	1	0	0	0	34	0	11	1	560
134	26	87	123	5	1	1	1	1	1	1	12	10	1	0	0	0	15	0	8	1	723
135	21	134	283	6	0	0	1	1	1	0	54	44	1	0	0	0	94	0	17	1	625
136	21	212	444	12	0	0	1	1	1	1	68	54	0	1	0	1	78	0	11	1	"1,386"
137	20	134	273	8	0	1	0	0	1	1	57	49	1	0	0	1	94	0	12	1	903
138	21	20	26	2	1	0	1	1	1	0	3	0	1	0	0	0	6	1	2	1	220
139	20	154	364	9	0	1	1	1	1	1	38	31	1	0	0	0	79	0	9	1	458
140	20	67	258	3	1	1	1	1	1	1	42	29	1	0	0	0	44	0	6	1	"1,223"
141	23	109	242	7	0	1	1	1	1	1	45	32	1	0	0	1	77	1	9	1	346
142	22	72	147	3	1	1	1	1	1	1	31	28	1	0	0	0	68	0	12	1	893
143	23	15	69	2	1	1	1	1	1	0	26	18	1	0	0	0	21	0	8	1	289
144	21	39	158	3	1	1	1	1	1	0	19	17	1	0	0	0	17	0	8	1	332
145	21	62	194	5	0	1	1	1	1	1	33	27	1	0	0	0	42	0	7	1	"1,243"
146	22	77	150	5	1	1	1	1	1	0	60	55	0	1	0	0	65	0	6	1	"1,168"
147	28	78	144	6	0	1	1	1	1	0	13	7	1	0	0	0	24	0	14	1	776
148	25	4112	1091	71	0	1	1	0	1	1	26	9	1	0	0	0	334	0	1	1	643
149	46	428	97	19	1	1	1	1	1	1	27	11	0	0	0	0	38	1	0	0	142
150	23	281	371	16	1	0	1	1	1	0	16	2	1	0	0	0	296	0	3	1	644
151	29	412	204	11	1	0	1	1	1	0	60	45	1	0	0	0	141	0	8	1	669
152	22	654	226	33	1	1	1	0	0	0	37	9	1	0	0	0	234	0	5	1	1132
153	21	2294	0	33	0	0	1	0	1	0	12	4	1	0	0	0	0	0	9	1	754
154	18	831	772	14	0	0	1	0	1	1	22	13	1	0	0	0	20	1	16	1	1212
155	18	271	479	16	1	0	1	0	1	1	55	30	0	0	0	0	758	0	3	1	779
156	29	1674	615	42	1	1	1	0	1	1	26	11	0	0	0	0	48	0	12	0	283
157	24	118	213	8	1	1	1	1	1	1	30	18	0	0	0	0	41	0	2	1	276
158	20	349	181	14	0	1	1	0	1	0	15	8	1	0	0	0	26	0	1	1	920
159	22	2321	1686	42	0	1	1	0	1	0	34	19	1	0	0	0	543	0	9	1	1172
